# PeekMicrobiome — abundance matrix, taxonomic (relative) abundance in %
# reference database: Human gut [human-gut] — MGnify human-gut v2.0.2
# database file: human-gut.syldb — https://zenodo.org/api/records/21842023/files/human-gut.syldb/content
# database DOI: 10.5281/zenodo.21842023
# database: genomes=4744, k=31, c=200, catalogue_species=4744
# matrix: 624 species x 84 samples
# exported: 2026-08-09T09:26:40.732Z
# every abundance below is relative to the reference database named above and to nothing else: sylph reports the closest genomes that database contains, and reports nothing at all about species it does not contain. A sample from another environment still produces a full, plausible table.
# reference per sample: ERR14098571=Human gut; ERR14098572=Human gut; ERR14098573=Human gut; ERR14098574=Human gut; ERR14098575=Human gut; ERR14098577=Human gut; ERR14098576=Human gut; ERR14098578=Human gut; ERR14098579=Human gut; ERR14098580=Human gut; ERR14098581=Human gut; ERR14098582=Human gut; ERR14098583=Human gut; ERR14098584=Human gut; ERR14098585=Human gut; ERR14098586=Human gut; ERR14098587=Human gut; ERR14098588=Human gut; ERR14098589=Human gut; ERR14098590=Human gut; ERR14098591=Human gut; ERR14098592=Human gut; ERR14098593=Human gut; ERR14098594=Human gut; ERR14098596=Human gut; ERR14098595=Human gut; ERR14098597=Human gut; ERR14098598=Human gut; ERR14098600=Human gut; ERR14098599=Human gut; ERR14098601=Human gut; ERR14098602=Human gut; ERR14098603=Human gut; ERR14098604=Human gut; ERR14098606=Human gut; ERR14098605=Human gut; ERR14098607=Human gut; ERR14098608=Human gut; ERR14098610=Human gut; ERR14098609=Human gut; ERR14098611=Human gut; ERR14098612=Human gut; ERR14098614=Human gut; ERR14098613=Human gut; ERR14098616=Human gut; ERR14098615=Human gut; ERR14098618=Human gut; ERR14098617=Human gut; ERR14098620=Human gut; ERR14098619=Human gut; ERR14098622=Human gut; ERR14098621=Human gut; ERR14098624=Human gut; ERR14098623=Human gut; ERR14098626=Human gut; ERR14098625=Human gut; ERR14098628=Human gut; ERR14098627=Human gut; ERR14098629=Human gut; ERR14098630=Human gut; ERR14098631=Human gut; ERR14098632=Human gut; ERR14098633=Human gut; ERR14098634=Human gut; ERR14098637=Human gut; ERR14098636=Human gut; ERR14098638=Human gut; ERR14098639=Human gut; ERR14098640=Human gut; ERR14098641=Human gut; ERR14098642=Human gut; ERR14098643=Human gut; ERR14098644=Human gut; ERR14098645=Human gut; ERR14098646=Human gut; ERR14098647=Human gut; ERR14098649=Human gut; ERR14098648=Human gut; ERR14098651=Human gut; ERR14098650=Human gut; ERR14098652=Human gut; ERR14098653=Human gut; ERR14098654=Human gut; ERR14098655=Human gut
species	genome	ERR14098571	ERR14098572	ERR14098573	ERR14098574	ERR14098575	ERR14098577	ERR14098576	ERR14098578	ERR14098579	ERR14098580	ERR14098581	ERR14098582	ERR14098583	ERR14098584	ERR14098585	ERR14098586	ERR14098587	ERR14098588	ERR14098589	ERR14098590	ERR14098591	ERR14098592	ERR14098593	ERR14098594	ERR14098596	ERR14098595	ERR14098597	ERR14098598	ERR14098600	ERR14098599	ERR14098601	ERR14098602	ERR14098603	ERR14098604	ERR14098606	ERR14098605	ERR14098607	ERR14098608	ERR14098610	ERR14098609	ERR14098611	ERR14098612	ERR14098614	ERR14098613	ERR14098616	ERR14098615	ERR14098618	ERR14098617	ERR14098620	ERR14098619	ERR14098622	ERR14098621	ERR14098624	ERR14098623	ERR14098626	ERR14098625	ERR14098628	ERR14098627	ERR14098629	ERR14098630	ERR14098631	ERR14098632	ERR14098633	ERR14098634	ERR14098637	ERR14098636	ERR14098638	ERR14098639	ERR14098640	ERR14098641	ERR14098642	ERR14098643	ERR14098644	ERR14098645	ERR14098646	ERR14098647	ERR14098649	ERR14098648	ERR14098651	ERR14098650	ERR14098652	ERR14098653	ERR14098654	ERR14098655
Collinsella sp900755685	MGYG000000283.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6338	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Lachnospira sp000436475	MGYG000002580.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3626	0.2977	0.3305	0.3814	0.0000	0.0000	0.3924	0.3459	0.3697	0.3562	0.3405	0.3650	0.0000	0.6326	0.3314	0.3494	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1982	0.2507	0.2060	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Collinsella sp900541145	MGYG000004240.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6267	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Acidaminococcus intestini	MGYG000001440.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5171	0.4878	0.4905	0.5248	0.5945	0.6248	0.5069	0.5249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4129	0.3903	0.4248	0.4254	0.5566	0.5470	0.4998	0.3396	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3873	0.4686	0.4282	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2565	0.2539	0.2368
UMGS1322 sp900550765	MGYG000001665.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3672	0.3839	0.4390	0.2942	0.0000	0.6238	0.3545	0.3784	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1910	0.2523	0.2349	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Holdemanella sp002299315	MGYG000000253.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4182	0.3842	0.4810	0.3860	0.5415	0.6220	0.3757	0.4273	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2878	0.3831	0.3124	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Collinsella sp003487125	MGYG000004497.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6195	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
F23-B02 sp001916715	MGYG000004388.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3815	0.4718	0.4557	0.4304	0.3590	0.0000	0.4704	0.4524	0.5100	0.5493	0.5159	0.4710	0.0000	0.6195	0.4817	0.4778	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3233	0.3069	0.3270	0.1392	0.0729	0.1008	0.0658	0.0623	0.0732	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Blautia_A wexlerae_B	MGYG000004785.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4527	0.5132	0.4575	0.4145	0.0000	0.0000	0.4783	0.4223	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6130	0.5767	0.0000	0.1396	0.0000	0.0000	0.1079	0.0729	0.0000	0.3126	0.2976	0.3649	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-238 sp000435615	MGYG000004308.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4543	0.4653	0.4122	0.4064	0.6116	0.5713	0.4933	0.4147	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3265	0.3481	0.3900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Dysosmobacter sp900544615	MGYG000000841.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4070	0.4679	0.4263	0.3959	0.5645	0.6087	0.3988	0.3824	0.3686	0.3309	0.3579	0.2638	0.0000	0.0000	0.3564	0.3176	0.4732	0.5046	0.5705	0.4342	0.0000	0.0000	0.4461	0.4053	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1409	0.2703	0.2156	0.2030	0.2386	0.2925	0.3085	0.3167	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Collinsella sp.	MGYG000004091.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6077	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-110 sp900546075	MGYG000004262.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2259	0.2663	0.2404	0.6024	0.6068	0.6028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Butyricimonas paravirosa	MGYG000000183.fna	0.4185	0.3130	0.4253	0.4584	0.6057	0.0000	0.3355	0.3640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3425	0.3255	0.3360	0.3556	0.0000	0.0000	0.3155	0.3234	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1689	0.1937	0.0000	0.0000	0.0000	0.1746	0.1698	0.1875	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1923	0.1785	0.0000	0.0000	0.0000	0.0000
CAG-110 sp003525905	MGYG000002060.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4093	0.4607	0.4222	0.3584	0.5938	0.0000	0.4313	0.4054	0.4512	0.3882	0.4016	0.4824	0.0000	0.0000	0.3912	0.3884	0.2600	0.2868	0.2829	0.3195	0.0000	0.0000	0.3169	0.2304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2894	0.2221	0.2736	0.0000	0.0000	0.0000	0.0000	0.2440	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3129	0.3037	0.3088	0.3130	0.2968	0.3511	0.0000	0.0000	0.0000	0.1194	0.1437	0.1315	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-103 sp900543625	MGYG000001136.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5653	0.5077	0.5579	0.5529	0.0000	0.5914	0.5128	0.5474	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4868	0.5338	0.5188	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
51-20 sp001917175	MGYG000002021.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4010	0.4372	0.4271	0.4447	0.5403	0.5891	0.4454	0.4693	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3564	0.3360	0.3201	0.0896	0.0000	0.0954	0.0000	0.0380	0.0702
UMGS1045 sp900547995	MGYG000000446.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4722	0.4130	0.4585	0.3743	0.5764	0.5886	0.4125	0.4515	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3144	0.3314	0.3147	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Haemophilus_D sp.	MGYG000003060.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5876	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBA11774 sp003507655	MGYG000000404.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3896	0.3427	0.3401	0.3389	0.0000	0.5861	0.3977	0.3184	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0704	0.0950	0.0310	0.0616	0.0373	0.0390	0.0698	0.1179	0.1248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-605 sp.	MGYG000004620.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3294	0.3562	0.3887	0.3571	0.3326	0.5842	0.2589	0.3139	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBA7182 sp003480725	MGYG000000141.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4009	0.4384	0.4254	0.4539	0.5756	0.0000	0.4059	0.4412	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3028	0.0000	0.2987	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1464	0.2924	0.3049	0.2935	0.1514	0.1768	0.2125	0.0000	0.0000	0.0000	0.1083	0.1285	0.1857	0.1381	0.1634	0.1595	0.2287	0.1915	0.2132
CAG-269 sp003525075	MGYG000003481.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2617	0.2635	0.3197	0.2857	0.0000	0.0000	0.2663	0.2179	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3464	0.4546	0.4438	0.4330	0.5754	0.4030	0.4104	0.3567	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2613	0.3171	0.2584	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-495 sp001917125	MGYG000002616.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3355	0.3142	0.3170	0.3692	0.0000	0.5735	0.2528	0.3059	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBA1206 sp000433115	MGYG000001764.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3707	0.3046	0.3475	0.3999	0.5056	0.5733	0.2998	0.3921	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2204	0.2739	0.2040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-83 sp900545585	MGYG000002143.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3950	0.3840	0.3489	0.3883	0.0000	0.5695	0.4412	0.3984	0.0000	0.3040	0.0000	0.3472	0.0000	0.0000	0.0000	0.3174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2149	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2016	0.2519	0.2115	0.1130	0.1828	0.1262	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CAG-495 sp000432275	MGYG000004639.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3873	0.3830	0.3277	0.3345	0.0000	0.5676	0.3738	0.4120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
